name,x,y,z,vx,vy,vz,inclination,eccentricity,RAAN,argument_of_perigee,mean_anomaly,mean_motion,collision_label
SAT-00900,-2375.8031375186215,-6120.550372959926,3345.612905774949,-1.2546542359400017,-3.0926649911720774,-6.547297914828139,90.2155,0.0023616,68.9248,306.2527,173.52430000000004,13.76466244,0
SAT-00902,2173.9436968819036,6890.401983153284,1826.9507556576373,-0.4941307653235984,-1.72676796121173,7.085296126879357,90.2284,0.0017257,72.8901,219.9119,204.584,13.5288951,0
SAT-01361,1136.1715197830604,8815.518018814932,-2229.9127176685474,-5.603723845855668,1.5053348935975943,3.139747660563075,32.1399,0.0013277,108.1214,47.2832,312.8781000000001,9.89309879,0
SAT-01512,-5206.4167931403745,-3294.935699370541,4378.230448089027,3.5476060112981602,2.229129978731008,5.903284816054351,89.9891,0.0068224,212.6018,232.3705,153.8539,13.33587706,0
SAT-01520,1869.8750730338159,-2848.632272628446,-6745.486973520469,-3.543492413078723,5.382444608543158,-3.281208029687973,89.9078,0.0071679,123.6867,91.0428,337.5907,13.36254772,0
SAT-02826,502.10268551369273,2412.2546356307157,6570.124683566513,-6.958917105475022,2.8399372248261514,-0.5119642974238359,69.9197,0.0005646,338.8501,247.27490000000003,112.7801,14.757601980000002,0
SAT-02866,-38500.96304100724,-10178.04571659007,1737.2786667994797,0.8229687809323598,-3.049885940869582,-0.013603467886478956,2.3398,0.0056704,100.2524,206.5727,254.0664,1.09425904,0
SAT-02872,-2158.3367076214113,2244.4482515657896,-6573.1739258933785,-1.5533296528337188,-6.986568441427391,-1.873815290246213,69.9721,0.0009534,266.0474,273.2194,86.7822,13.99567535,0
SAT-02874,-6172.675956769692,-2817.9065889328567,-2668.8065094232925,3.4160751252060515,-1.4235217494567705,-6.39802030062527,69.97480000000002,0.0008084,18.5189,333.9877,26.0822,13.96806977,0
SAT-05204,-35013.276077551636,24707.530249703414,165.63782546074265,-1.7533388098336493,-2.491738348479572,-0.006077758566035887,0.2362,0.0024243,346.5163,304.825,330.1307,0.98159818,0
SAT-05398,-3735.9206513352933,-557.9469424384702,6101.863282796769,-6.140164717758559,-1.501811596560119,-3.908947448543481,87.6239,0.0057702,12.8211,280.3737,79.0961,14.37701027,0
SAT-07530,4342.86361719922,5552.8068792084205,3378.239332084361,-0.5428544522488123,-3.3941105245872834,6.26565899041886,101.99720000000002,0.0012235,57.6096,6.4305,117.86510000000001,12.53695876,0
SAT-07646,-2699.6703465053497,-6058.252465806885,2755.893118079774,5.645653638258498,-0.27682995877322675,4.971784143569006,49.8219,0.0205514,228.3647,18.1589,342.6508,13.82349023,0
SAT-08820,2184.4003568145695,3670.639942517696,11522.77944535054,4.269867410169957,-3.7385736247133323,0.40521533996723935,109.8229,0.0044659,137.32640000000004,328.56200000000007,25.1043,6.38664928,0
SAT-13086,-15733.30774960059,39715.98082972937,2281.078888962851,-2.812125898064903,-1.0874771323860422,-0.4717970627447328,9.5385,0.0005422,310.0836,319.7547,312.6807,0.9818850800000001,0
SAT-14129,-31020.145344226203,21233.84760473262,-18131.92252453247,-0.9035234248679903,-1.7353699890728176,0.04775972415243057,25.9496,0.605394,240.22830000000002,81.56810000000002,338.8036,2.05874803,0
SAT-14781,-6788.56199446718,-1590.4034851109757,161.639319471135,-0.40870188054091194,0.9610076193097449,-7.49123786775363,97.7904,0.0006389,12.596,221.62700000000004,138.4462,14.904184619999999,0
SAT-16908,-3982.28490759055,5178.514788145089,-4386.103637898771,-5.8986316581718645,-1.357406629018515,3.7423523870495594,50.0081,0.0011234,164.1706,227.6393,158.8108,12.44515356,0
SAT-19548,-40073.5648467771,-12404.968003324524,-5404.83787657081,0.9677881485127078,-2.8571042422435733,-0.5435287799089961,12.6947,0.004374,341.8105,351.1633,185.5631,1.00267427,0
SAT-19751,1918.6506449847918,24050.409031140236,8435.924615939719,-1.8528218039846478,-1.0187154055582748,3.330368685889337,64.8722,0.0023439,76.3974,217.4964,141.9421,2.13156126,0
SAT-20026,-13547.38828334086,19689.369986442503,8799.763582479014,-2.16160469955561,-0.012437792515308167,-3.3163394471886813,65.0092,0.002045,314.7691,213.6314,324.2669,2.13204597,0
SAT-20253,41009.104124743724,9155.70967988583,3214.609348858844,-0.7006905844140338,2.930783553992566,0.6193585212005646,12.4547,0.0008929,351.8983,327.2449,185.1888,1.00272127,0
SAT-20442,1010.6005110873028,4200.3959166370305,-5716.764702070533,3.2286216525918237,5.130223533167769,4.332160879448415,98.8947,0.0011187,63.9691,200.7358,159.3373,14.3407793,0
SAT-20580,-2613.78146805332,5475.545193910582,-3195.1874413138144,-7.007783585732411,-2.912776890117451,0.7397783188045178,28.4663,0.0001477,202.9405,193.7065,166.3491,15.290945670000001,0
SAT-20776,7878.36932881745,-40384.39802207441,-9170.235179170912,3.0189949593824523,0.5356063780160524,0.23800525065921324,13.3769,0.0003185,350.6545,329.2787,29.2851,1.00271581,0
SAT-20929,17419.75127323461,-38139.589560826964,-8102.629452295736,2.7823665115818574,1.173780530749266,0.46179247831669745,14.079400000000001,0.0003185,344.8968,63.3546,119.55440000000002,0.9839644399999999,0
SAT-21639,7524.954313668182,40260.928921814826,10215.643830491928,-3.021169840330966,0.5471247009928151,0.07016606009929767,14.0858,0.0012352,354.6812,268.8461,285.88990000000007,1.00276515,0
SAT-21805,41603.85034342601,7385.068374186478,4195.247728074298,-0.5891238200468438,2.929555056884785,0.678357907178422,14.0688,0.0002665,346.3781,68.3861,87.4047,0.9918831899999999,0
SAT-22195,11934.675710406356,-2362.9217650779487,1481.1166634403437,0.07568442459733321,3.5249675077134537,4.455165924225304,52.6819,0.0137866,344.1438,133.7219,18.5996,6.47293277,0
SAT-22314,-39260.91312512428,-14780.48038154709,-4032.838735350081,1.118077858513259,-2.780726056456658,-0.6931987053477938,14.18,0.0005222,357.9695,208.8241,21.639,1.00267889,0
SAT-22490,-332.05041757180624,-6953.591343663501,1489.0163117641673,6.963615568691045,0.2249899019879438,2.7336886295244147,24.9682,0.004177,244.0329,281.4126,130.7151,14.46053809,0
SAT-22787,4170.990100608591,-41035.28468713415,-8658.957347633335,3.0602591531090186,0.31064765192765686,0.013030682353780378,11.8521,0.0008598,4.2189,330.9663,35.2439,1.00275499,0
SAT-22824,-2613.74878548567,6414.94155835496,-1908.1033735815429,0.3738325760360386,2.257883673797581,7.086970101865353,98.7894,0.0005539,109.4127,226.9989,285.3115,14.27466796,0
SAT-22825,2243.8140547874423,-2761.6976554629605,6206.958831607606,2.0966204210492556,-6.239657951367767,-3.5240052569693057,98.7032,0.000952,113.0183,99.6879,260.5379,14.30905086,0
SAT-22826,-1601.8365728521817,5445.790967189592,4359.896228062004,2.6490088580939224,-3.883607354982972,5.800449859469598,98.6981,0.0010036,112.9392,85.1389,275.094,14.31328343,0
SAT-22988,-38119.30714928358,15038.013420187928,9991.789836021373,-1.2362738642046174,-2.755895489002843,-0.5691799804493509,17.4344,0.0003885,29.0279,298.4582,249.99570000000003,1.00271413,0
SAT-23439,196.3152947077436,-4490.748906197456,7072.974424315371,5.610434080173517,-3.3813250690636014,-2.175392139585253,64.8161,0.0151796,141.13010000000003,26.3854,334.4701,11.27583443,0
SAT-23467,21485.81299070158,35927.90315712456,5044.384351643919,-2.641949197917195,1.530084241871334,0.36403936503759415,9.6568,0.0003646,13.6292,311.5631,70.399,1.00269641,0
SAT-23613,38548.81148123402,-16901.961681808938,-2258.638810007057,1.2356631671806018,2.7298683836176525,0.6933441428532124,13.4276,0.000627,349.0331,44.1955,3.1036,1.00265712,0
SAT-23712,-25386.310660427618,32549.491174854928,8653.349536880332,-2.4541350054450364,-1.8077202692514747,-0.39738425942139866,14.0281,0.0003488,4.6534,328.0197,230.98830000000004,1.00272119,0
SAT-23802,-24691.682887496114,-24785.137979808525,-9710.03843836863,-1.5425754755471868,-2.2266070971086838,1.8409803783295595,79.7165,0.6346016,228.4484,213.232,82.7402,1.2984589,0
SAT-23839,2976.7168911883496,-41745.395845201034,-5558.021996203619,3.0376797488335043,0.26868394528192624,-0.3839464818751465,10.3463,0.0006842,47.7483,255.64849999999998,92.1549,0.99990072,0
